population,controlled_requested_percent,profile,samples,proposal_odds_multiplier,targeted_event_count,importance_estimate,importance_95_low,importance_95_high,effective_sample_size,exact_probability,relative_error_vs_exact,estimate_kind
10000,35,q60_44_41,20000,4.166023166023166,12147,1.4022531671226821e-07,1.3602854936106853e-07,1.444220840634679e-07,4.8764136149913915,1.3904643200911694089422887239812066118881569181573601440037250647873507200239160E-7,0.008478352778401192,modeled_importance_sampling
10000,40,q25_22_17,20000,3.499999999999999,13490,0.004219372817461267,0.004127470973633752,0.004311274661288782,54.21476693785158,0.0042840434739384502270931198678873173252116311758091833804760956868678153139084626,-0.015095704997066601,modeled_importance_sampling
10000,40,q60_44_41,20000,3.364864864864864,12256,7.951345478072257e-06,7.728980640821042e-06,8.173710315323473e-06,3.7707164016771135,0.0000080249159019128506072711871838804930809200551519608698339143101116254224220840311,-0.009167750134684535,modeled_importance_sampling
10000,45,q25_22_17,20000,2.8518518518518516,13571,0.017139448951653775,0.01679773924915624,0.01748115865415131,101.84658711504584,0.017243809579812518111823351246114788918690676502545821449156749326732220940412557,-0.006052063360808567,modeled_importance_sampling
10000,45,q60_44_41,20000,2.7417417417417416,12319,0.0002153512403392558,0.00020989920974524463,0.000220803270933267,7.313805839945654,0.00021532939491496571322284543378264005019032122391095338631008299068582000812495260,0.00010145119433746427,modeled_importance_sampling
15000,10,q25_22_17,20000,20.999999999999996,13521,4.681024128934704e-12,4.546161829473499e-12,4.815886428395908e-12,13.716722542434722,4.5480283799951504124135441945170859993422447490079753927036928868730050982807897E-12,0.029242506384644724,modeled_importance_sampling
15000,10,q60_44_41,20000,20.189189189189186,12055,1.9039012502675606e-27,1.8338461125821634e-27,1.9739563879529578e-27,1.205349918483883,1.8586739127198008334422819428265815793223567970626598602749776681277169496566474E-27,0.02433312117754885,modeled_importance_sampling
15000,20,q25_22_17,20000,9.333333333333332,13448,2.5456248359969883e-07,2.475539449085483e-07,2.6157102229084934e-07,6.4891136194626355,2.5943485189834357087207938495961295139527284599626169930683696190950729930769567E-7,-0.018780700676846302,modeled_importance_sampling
15000,20,q60_44_41,20000,8.972972972972972,12253,6.160194044438339e-16,5.946343531186673e-16,6.374044557690006e-16,3.0188791359978366,6.1434910010973628367143632689522565036171174005133410490155747725412786164585911E-16,0.0027188195340389744,modeled_importance_sampling
15000,25,q25_22_17,20000,6.999999999999999,13492,7.074672313277094e-06,6.888357360990754e-06,7.260987265563434e-06,23.281879161501937,0.0000072217449363392826398692140335506230676521505894024882327358940637998544871139629,-0.02036524750716827,modeled_importance_sampling
15000,25,q60_44_41,20000,6.729729729729729,12102,1.8181806840793002e-12,1.7568208103815515e-12,1.879540557777049e-12,2.7643353818191394,1.8666165662488921421292869433242109352190107736040747649153196173858966591694341E-12,-0.025948490464181153,modeled_importance_sampling
15000,30,q25_22_17,20000,5.444444444444444,13493,9.701703214289759e-05,9.46142905897811e-05,9.941977369601408e-05,11.497838377054403,0.000097292202897993557485925750561440876702092530665582312806078692444503647875460770,-0.0028282919586523443,modeled_importance_sampling
15000,30,q60_44_41,20000,5.234234234234234,12284,9.849743873649486e-10,9.54052424668361e-10,1.0158963500615363e-09,1.5314388316194998,9.6698327299613452966959262570367158044615540648496283225056465868339134544319575E-10,0.01860540391052451,modeled_importance_sampling
15000,33.33,q25_22_17,20000,4.666666666666667,13518,0.00040943802440709785,0.0003996932103730271,0.0004191828384411686,21.356414705446102,0.00041062384358879844040392329614134076176945589290649572163659557267402527101344478,-0.0028878478447249595,modeled_importance_sampling
15000,33.33,q60_44_41,20000,4.486486486486487,12240,3.022647133774647e-08,2.9299756781277934e-08,3.1153185894215e-08,6.60053666980586,3.0437169008362148294637285608820216833017755946239128561573571375976603600086202E-8,-0.006922380677315696,modeled_importance_sampling
15000,35,q25_22_17,20000,4.333333333333333,13586,0.0007923076378106052,0.0007740063759755369,0.0008106088996456736,26.628604258461316,0.00078494873539415793312853713732849893577517682433545137974053320604993095582158165,0.009375010219937524,modeled_importance_sampling
15000,35,q60_44_41,20000,4.166023166023166,12326,1.439103793337019e-07,1.3961512784160122e-07,1.482056308258026e-07,3.80292339562054,1.4315335474973056136899487664267553643639889332378562646981551175970536712399475E-7,0.005288207079008489,modeled_importance_sampling
15000,40,q25_22_17,20000,3.499999999999999,13566,0.0042976346892557886,0.004204522584682475,0.004390746793829102,38.40453602067199,0.0042981361327943418935773698582827105009955643776335010591584103611509472340500165,-0.00011666534587569955,modeled_importance_sampling
15000,40,q60_44_41,20000,3.364864864864864,12266,8.140526399851297e-06,7.91339758403571e-06,8.367655215666884e-06,9.948200446021872,0.0000081872306645840998402527414927888165592652149600025820148989852197463828247943794,-0.005704525332947285,modeled_importance_sampling
15000,45,q25_22_17,20000,2.8518518518518516,13550,0.01716135534126783,0.016820085147618628,0.01750262553491703,255.46811468349088,0.017281483214411027013638021595651322783752888839211396964928513435400321623990194,-0.006951247856030227,modeled_importance_sampling
15000,45,q60_44_41,20000,2.7417417417417416,12332,0.0002156758414776678,0.00021016143266266294,0.00022119025029267264,5.1853517024087035,0.00021820938355132225263089363324236246571667639038783310658812277570880239535266512,-0.011610600939434716,modeled_importance_sampling
